problem,sentence,solutions,fullname,pred
181,How many _ do you have?,children,rodina-lide-1-uroven,children
181,What is your _ ?,name,rodina-lide-1-uroven,name
181,I'm Ivo's _ . We got married last summer.,wife,rodina-lide-1-uroven,wife
182,Klára and Anička are _ .,sisters,rodina-lide-1-uroven,sisters
182,The brother of my mother is my _ .,uncle,rodina-lide-1-uroven,uncle
182,I'm going to meet my boyfriend's _ at the weekend.,parents,rodina-lide-1-uroven,parents
183,"My _ is five, her name is Markétka.",daughter,rodina-lide-1-uroven,daughter
183,We are a big _ !,family,rodina-lide-1-uroven,family
183,"Do you know this man? Yes, I do, he's my _ .",husband,rodina-lide-1-uroven,husband
184,My _ met my father when she was 18.,mother,rodina-lide-1-uroven,mother
184,My father is a tall _ .,man,rodina-lide-1-uroven,man
184,"We have two _ , Veronika and Aneta.",girls,rodina-lide-1-uroven,girls
185,"This is our _ Honzík, he is 4.",son,rodina-lide-1-uroven,son
185,My wife is a beautiful _ .,woman,rodina-lide-1-uroven,woman
185,"She's not my girlfriend, we are just good _ .",friends,rodina-lide-1-uroven,friends
186,My son was a bit of a rebel when he was a _ .,teenager,rodina-lide-1-uroven,teenager
186,My _ is a doctor.,father,rodina-lide-1-uroven,father
186,Their baby was born last night. It's a _ !,boy,rodina-lide-1-uroven,boy
187,I come from a large family - I have four _ and a sister.,brothers,rodina-lide-1-uroven,brothers
187,We invited 15 _ to our family dinner.,people,rodina-lide-1-uroven,people
187,My _ is in her seventies.,grandmother,rodina-lide-1-uroven,grandmother
188,Do you _ football?,play,pohybova-slovesa-1-uroven,play
188,I can _ under water.,swim,pohybova-slovesa-1-uroven,swim
188,"If I _ for a long time, my knees hurt.",stand,pohybova-slovesa-1-uroven,stand
189,We _ house last summer.,moved,pohybova-slovesa-1-uroven,moved
189,I _ into the water.,jumped,pohybova-slovesa-1-uroven,jumped
189,She is _ at the table.,sitting,pohybova-slovesa-1-uroven,sitting
190,She _ off her bike.,fell,pohybova-slovesa-1-uroven,fell
190,When does she _ her new job?,start,pohybova-slovesa-1-uroven,start
190,We _ all night.,danced,pohybova-slovesa-1-uroven,danced
191,I can _ very fast.,run,pohybova-slovesa-1-uroven,run
191,I can't _ eating this delicious cake.,stop,pohybova-slovesa-1-uroven,stop
191,Let's go _ in the winter!,skiing,pohybova-slovesa-1-uroven,skiing
192,Did you _ from Prague to Paris?,fly,pohybova-slovesa-1-uroven,fly
192,We can _ on the river in the winter.,skate,pohybova-slovesa-1-uroven,skate
192,Will you _ to the party?,come,pohybova-slovesa-1-uroven,come
193,The bus _ in an hour.,leaves,pohybova-slovesa-1-uroven,leaves
193,Did he _ off his bike?,fall,pohybova-slovesa-1-uroven,fall
193,I _ my hands.,clapped,pohybova-slovesa-1-uroven,clapped
194,She _ home.,walked,pohybova-slovesa-1-uroven,walked
194,"Can you _ the door open, please?",hold,pohybova-slovesa-1-uroven,hold
194,"Petr, _ right!",turn,pohybova-slovesa-1-uroven,turn
195,Shh! She is _ .,sleeping,slovesa-zaklad-1-uroven,crying
195,What are you _ ? Orange juice.,drinking,slovesa-zaklad-1-uroven,drinking
195,She is _ because she fell off her bike.,crying,slovesa-zaklad-1-uroven,sleeping
196,I'm _ Harry Potter.,reading,slovesa-zaklad-1-uroven,reading
196,"He's a doctor, he _ at the hospital.",works,slovesa-zaklad-1-uroven,works
196,Do you _ meat?,eat,slovesa-zaklad-1-uroven,eat
197,I _ in Prague.,live,slovesa-zaklad-1-uroven,live
197,When does the film _ ?,begin,slovesa-zaklad-1-uroven,begin
197,He _ her on the mouth.,kissed,slovesa-zaklad-1-uroven,kissed
198,"I will _ some fruit, we don't have any.",buy,slovesa-zaklad-1-uroven,buy
198,"Kamil _ very well, he will be an artist.",draws,slovesa-zaklad-1-uroven,draws
198,The shop _ at 5 pm.,closes,slovesa-zaklad-1-uroven,closes
199,Can I _ your scissors to cut the sheet of paper?,use,slovesa-zaklad-1-uroven,use
199,Will you _ the car? It's dirty.,wash,slovesa-zaklad-1-uroven,wash
199,I like to _ in the autumn because there are fewer tourists.,travel,slovesa-zaklad-1-uroven,travel
200,Did you _ the house yourself?,build,slovesa-zaklad-1-uroven,build
200,"Mum, can you _ me a chocolate cake?",make,slovesa-zaklad-1-uroven,make
200,"I will stay at home, it's _ .",raining,slovesa-zaklad-1-uroven,raining
201,The thieves _ the house by the door.,entered,slovesa-zaklad-1-uroven,entered
201,This _ my sister.,is,slovesa-zaklad-1-uroven,is
201,Will you _ a song to us?,sing,slovesa-zaklad-1-uroven,sing
202,I _ got two brothers.,have,slovesa-zaklad-1-uroven,have
202,The shop _ at 9 am.,opens,slovesa-zaklad-1-uroven,opens
202,"I couldn't _ Milan, he was behind a tree.",find,slovesa-zaklad-1-uroven,find
203,I _ home once a week to talk to my parents.,ring,slovesa-zaklad-1-uroven,ring
203,The story _ on page 8.,continues,slovesa-zaklad-1-uroven,continues
203,"It's _ , let's build a snowman.",snowing,slovesa-zaklad-1-uroven,snowing
204,She lost a lot of _ in the accident.,blood,casti-tela-1-uroven,blood
204,She has got beautiful blue _ .,eyes,casti-tela-1-uroven,eyes
204,"I can't walk, my _ hurts.",knee,casti-tela-1-uroven,knee
205,She has broken a _ in her wrist.,bone,casti-tela-1-uroven,bone
205,She blew her _ .,nose,casti-tela-1-uroven,nose
205,He kissed her on the _ .,mouth,casti-tela-1-uroven,mouth
206,"She has got long, dark _ .",hair,casti-tela-1-uroven,hair
206,"My _ are so cold, I will put on socks.",feet,casti-tela-1-uroven,feet
206,The girl and the boy hold their _ .,hands,casti-tela-1-uroven,hands
207,"I can't hear you, there is something in my _ .",ear,casti-tela-1-uroven,ear
207,You can solve the problem – use your _ .,brain,casti-tela-1-uroven,brain
207,Brush your _ !,teeth,casti-tela-1-uroven,teeth
208,She took her baby in her _ .,arms,casti-tela-1-uroven,arms
208,She had a ring on her _ .,finger,casti-tela-1-uroven,finger
208,My mum has a good _ .,heart,casti-tela-1-uroven,heart
209,I put on a hat to keep my _ warm.,head,casti-tela-1-uroven,head
209,He broke his _ when he was skiing.,leg,casti-tela-1-uroven,leg
209,Don't bite your _ !,nails,casti-tela-1-uroven,nails
210,My sister always wears a gold chain around her _ .,neck,casti-tela-1-uroven,neck
210,I could see from her _ that she was unhappy.,face,casti-tela-1-uroven,face
210,Babies have soft _ .,skin,casti-tela-1-uroven,skin
211,The _ is pink.,pig,zvirata-mix-1-uroven,lion
211,The _ is the king of animals.,lion,zvirata-mix-1-uroven,pig
211,The _ eats bananas.,monkey,zvirata-mix-1-uroven,monkey
212,The _ is a large animal.,tiger,zvirata-mix-1-uroven,tiger
212,The _ lives in water.,turtle,zvirata-mix-1-uroven,turtle
212,The _ is a small animal with long ears.,rabbit,zvirata-mix-1-uroven,rabbit
213,The _ produces milk.,cow,zvirata-mix-1-uroven,cow
213,The _ is green.,crocodile,zvirata-mix-1-uroven,chicken
213,The _ is a type of bird.,chicken,zvirata-mix-1-uroven,crocodile
214,The _ is an animal that looks like a small horse but has longer ears.,donkey,zvirata-mix-1-uroven,donkey
214,The _ has sharp teeth.,shark,zvirata-mix-1-uroven,shark
214,The _ is a large ape.,gorilla,zvirata-mix-1-uroven,gorilla
215,The _ is a very large grey animal.,elephant,zvirata-mix-1-uroven,dog
215,The _ is a bird that lives by water.,duck,zvirata-mix-1-uroven,duck
215,The _ is an animal with four legs.,dog,zvirata-mix-1-uroven,elephant
216,The _ is an animal with a very long neck.,giraffe,zvirata-mix-1-uroven,giraffe
216,The  _ lives in water and has eight tentacles.,octopus,zvirata-mix-1-uroven,octopus
216,The _ is a black and white bird.,penguin,zvirata-mix-1-uroven,penguin
217,The _ provides milk.,goat,zvirata-mix-1-uroven,goat
217,The _ is a large animal that lives in the desert.,camel,zvirata-mix-1-uroven,camel
217,The _ is a sea mammal.,dolphin,zvirata-mix-1-uroven,dolphin
218,The _ catches mice.,cat,zvirata-mix-1-uroven,cat
218,The _ is a large animal with thick grey skin.,hippopotamus,zvirata-mix-1-uroven,hippopotamus
218,The _ moves by jumping.,kangaroo,zvirata-mix-1-uroven,kangaroo
219,My _ is Tim.,name,rodina-lide-1-uroven,name
219,The sister of my father is my _ .,aunt,rodina-lide-1-uroven,aunt
219,The _ has long hair.,girl,rodina-lide-1-uroven,girl
220,I have one older _ .,brother,rodina-lide-3-uroven,brother
220,Mary is my _ .,wife,rodina-lide-3-uroven,wife
220,He's my _ .,age,rodina-lide-3-uroven,age
221,They are not a big _ .,family,rodina-lide-1-uroven,family
221,The brother of my father is my _ .,uncle,rodina-lide-1-uroven,uncle
221,The _ is crying all the time.,baby,rodina-lide-1-uroven,baby
222,Mark is a nice _ .,person,rodina-lide-2-uroven,person
222,How many _ do you work with?,people,rodina-lide-2-uroven,people
222,My _ is a great man.,father,rodina-lide-2-uroven,father
223,She is my younger _ .,sister,rodina-lide-2-uroven,sister
223,I love my _ !,husband,rodina-lide-2-uroven,husband
223,This _ says she knows you.,woman,rodina-lide-2-uroven,woman
224,Are these your _ ?,parents,rodina-lide-1-uroven,parents
224,He is a bad _ .,man,rodina-lide-1-uroven,man
224,My _ is a very kind woman.,mother,rodina-lide-1-uroven,mother
226,"You are eighteen now, so you are an _ .",adult,rodina-lide-2-uroven,adult
226,This is the _ that lives next to us.,neighbour,rodina-lide-2-uroven,neighbour
226,My aunt’s child is my _ .,cousin,rodina-lide-2-uroven,cousin
226,Their _ was born last week.,baby,rodina-lide-2-uroven,baby
227,There is a _ of people on the street.,crowd,rodina-lide-2-uroven,crowd
227,My _ is eighty years old.,grandmother,rodina-lide-2-uroven,grandmother
227,"Write down your _ , please.",surname,rodina-lide-2-uroven,surname
227,You should take care of your _ .,family,rodina-lide-2-uroven,family
228,This is _ Thompson. He is your new boss.,Mr,rodina-lide-2-uroven,Mr
228,My sister’s son is my _ .,nephew,rodina-lide-2-uroven,nephew
228,Would you like to be our _ ?,guest,rodina-lide-2-uroven,guest
228,Tell us your name and your _ .,age,rodina-lide-2-uroven,age
229,I am _ . We had a wedding last year.,married,rodina-lide-2-uroven,married
229,She was never a difficult _ .,teenager,rodina-lide-2-uroven,teenager
229,I have to work in a _ with four other people.,team,rodina-lide-2-uroven,team
229,They are not _ . They don’t know each other.,friends,rodina-lide-2-uroven,friends
230,How do you know _ Hill?,Mrs,rodina-lide-2-uroven,grandfather
230,He is a _ now. His daughter just had a baby.,grandfather,rodina-lide-2-uroven,Mrs
230,Would you like to be my _ ?,girlfriend,rodina-lide-2-uroven,girlfriend
230,I have never met that _ .,person,rodina-lide-2-uroven,person
231,There is a _ in our living room.,visitor,rodina-lide-2-uroven,visitor
231,"She’s not married yet, so you should call her _ .",Miss,rodina-lide-2-uroven,Miss
231,I don’t belong to your _ of people.,group,rodina-lide-2-uroven,group
231,Becky is just a little _ .,girl,rodina-lide-2-uroven,girl
232,I have a _ . She is my son’s daughter.,granddaughter,rodina-lide-2-uroven,granddaughter
232,He doesn’t want to be my _ .,boyfriend,rodina-lide-2-uroven,boyfriend
232,Oscar is a twenty-year-old _ .,man,rodina-lide-2-uroven,man
232,Sally really likes talking to _ .,people,rodina-lide-2-uroven,people
233,"Here is a paper, _ something.",draw,slovesa-zaklad-1-uroven,draw
233,Do you want to _ something?,eat,slovesa-zaklad-1-uroven,eat
233,I _ in a city.,live,slovesa-zaklad-1-uroven,live
234,I want to _ happy.,be,slovesa-zaklad-1-uroven,be
234,"Here, _ some water.",drink,slovesa-zaklad-1-uroven,drink
234,Do you _ often?,travel,slovesa-zaklad-1-uroven,travel
235,Children need to _ a lot.,sleep,slovesa-zaklad-1-uroven,continue
235,He doesn’t want to _ .,continue,slovesa-zaklad-1-uroven,sleep
235,You can _ your eyes.,open,slovesa-zaklad-1-uroven,open
236,She _ some money left.,has,slovesa-zaklad-2-uroven,has
236,It might _ tomorrow.,rain,slovesa-zaklad-2-uroven,rain
236,They _ together.,work,slovesa-zaklad-2-uroven,work
237,Help me _ it.,find,slovesa-zaklad-1-uroven,find
237,He must _ to the doctor.,go,slovesa-zaklad-1-uroven,go
237,There is the bathroom. Go _ yourself.,wash,slovesa-zaklad-1-uroven,wash
238,We can _ that.,use,slovesa-zaklad-1-uroven,use
238,You can _ the door.,close,slovesa-zaklad-1-uroven,close
238,Is it expensive to _ a house?,build,slovesa-zaklad-1-uroven,build
239,There are ten _ and five girls.,boys,rodina-lide-1-uroven,boys
239,She has a _ called Emily.,daughter,rodina-lide-1-uroven,daughter
239,I don’t know these _ .,people,rodina-lide-1-uroven,people
240,This is a picture of my _ .,grandson,rodina-lide-3-uroven,grandson
240,Our daughter is pregnant. We are going to be _ .,grandparents,rodina-lide-3-uroven,grandparents
240,"Yes, I know his _ . It’s Nick.",name,rodina-lide-3-uroven,name
240,My _ looks just like me.,sister,rodina-lide-3-uroven,sister
241,I want to _ something new.,create,slovesa-zaklad-1-uroven,create
241,You cannot _ cigarettes here.,smoke,slovesa-zaklad-1-uroven,smoke
241,He can _ a couple of minutes.,wait,slovesa-zaklad-1-uroven,wait
242,Did you _ the film?,enjoy,slovesa-zaklad-2-uroven,enjoy
242,You can _ it over there.,put,slovesa-zaklad-2-uroven,put
242,John should _ the new car.,try,slovesa-zaklad-2-uroven,try
243,I want you to _ my parents.,meet,slovesa-zaklad-2-uroven,meet
243,She will _ the child back.,get,slovesa-zaklad-2-uroven,get
243,That _ good.,sounds,slovesa-zaklad-2-uroven,sounds
244,We _ help you with that.,can,slovesa-zaklad-2-uroven,can
244,I’m sure he will _ great things.,achieve,slovesa-zaklad-2-uroven,achieve
244,You can’t _ here.,camp,slovesa-zaklad-2-uroven,camp
245,He _ at the worst jokes.,laughs,slovesa-zaklad-2-uroven,laughs
245,Do you want to _ he will win?,bet,slovesa-zaklad-2-uroven,bet
245,I can’t _ very well.,sing,slovesa-zaklad-2-uroven,sing
246,I should _ for the trip.,prepare,slovesa-zaklad-3-uroven,prepare
246,Ellen is going to _ the exam.,fail,slovesa-zaklad-3-uroven,fail
246,They can’t _ here anymore.,stay,slovesa-zaklad-3-uroven,stay
247,He can _ very fast.,run,pohybova-slovesa-1-uroven,run
247,I don’t want to _ with you.,dance,pohybova-slovesa-1-uroven,dance
247,Can you _ a horse?,ride,pohybova-slovesa-1-uroven,ride
248,How high can you _ ?,jump,pohybova-slovesa-2-uroven,jump
248,"Please, _ for a while.",stop,pohybova-slovesa-2-uroven,stop
248,She should _ .,leave,pohybova-slovesa-2-uroven,leave
249,Emma _ like a fish.,swims,pohybova-slovesa-1-uroven,swims
249,Let’s _ basketball.,play,pohybova-slovesa-1-uroven,play
249,You cannot _ down.,fall,pohybova-slovesa-1-uroven,fall
250,Can you _ this for me?,hold,pohybova-slovesa-1-uroven,hold
250,We can go _ if it snows.,skiing,pohybova-slovesa-1-uroven,skiing
250,He can _ on that chair.,sit,pohybova-slovesa-1-uroven,sit
251,You can’t _ other players.,kick,pohybova-slovesa-1-uroven,stand
251,It hurts if I _ for too long.,stand,pohybova-slovesa-1-uroven,kick
251,She wants to _ like the birds.,fly,pohybova-slovesa-1-uroven,fly
252,It’s not that far. We can _ there.,walk,pohybova-slovesa-2-uroven,walk
252,There are no mountains to _ on here.,climb,pohybova-slovesa-2-uroven,climb
252,Ernest can’t _ his legs.,move,pohybova-slovesa-2-uroven,move
253,The ship will _ soon.,sink,pohybova-slovesa-2-uroven,sink
253,Try to _ the ball.,hit,pohybova-slovesa-2-uroven,hit
253,You need to _ before exercising.,stretch,pohybova-slovesa-2-uroven,stretch
253,We can _ there in our car.,drive,pohybova-slovesa-2-uroven,drive
254,"Be careful, they might _ you.",attack,pohybova-slovesa-2-uroven,attack
254,You should know how to _ yourself.,defend,pohybova-slovesa-2-uroven,defend
254,How much weight can she _ ?,lift,pohybova-slovesa-2-uroven,lift
254,I will _ you if you fall.,catch,pohybova-slovesa-2-uroven,catch
255,Now _ the button.,press,pohybova-slovesa-2-uroven,press
255,Will you _ these socks for me?,sort,pohybova-slovesa-2-uroven,pull
255,He needs to _ the door to open it.,pull,pohybova-slovesa-2-uroven,sort
255,I won’t be able to _ the race.,finish,pohybova-slovesa-2-uroven,finish
256,She is going to _ . I’m sure of it.,win,pohybova-slovesa-3-uroven,win
256,You can’t _ in this part of the sea.,dive,pohybova-slovesa-3-uroven,dive
256,"Meg is going to _ me, so that I get stronger.",train,pohybova-slovesa-3-uroven,train
256,It’s easy to _ the target.,miss,pohybova-slovesa-3-uroven,miss
257,I can _ on a boat.,sail,pohybova-slovesa-2-uroven,sail
257,He will _ you the ball.,throw,pohybova-slovesa-2-uroven,throw
257,Can you _ a bow?,shoot,pohybova-slovesa-2-uroven,shoot
257,The children like to _ down the hill.,slide,pohybova-slovesa-2-uroven,slide
258,We have to _ you.,search,pohybova-slovesa-3-uroven,search
258,Tony will _ the canoe.,paddle,pohybova-slovesa-3-uroven,paddle
258,Try to _ it a bit.,push,pohybova-slovesa-3-uroven,push
258,It has to _ at some point.,move,pohybova-slovesa-3-uroven,move
259,My _ is beating fast.,heart,casti-tela-1-uroven,heart
259,Open your _ .,mouth,casti-tela-1-uroven,mouth
259,Don’t point your _ at people.,finger,casti-tela-1-uroven,finger
260,He doesn’t use his _ at all.,brain,casti-tela-1-uroven,brain
260,Don’t cut yourself. I hate seeing _ .,blood,casti-tela-1-uroven,blood
260,I can stand on one _ .,leg,casti-tela-1-uroven,leg
261,How big is your _ ?,foot,casti-tela-1-uroven,foot
261,I want to have white _ .,teeth,casti-tela-1-uroven,teeth
261,I can’t run. My _ hurts.,knee,casti-tela-1-uroven,knee
262,She paints her _ red.,nails,casti-tela-1-uroven,nails
262,Our dog found a _ .,bone,casti-tela-1-uroven,bone
262,I wish my _ was soft.,skin,casti-tela-1-uroven,skin
263,My whole _ hurts.,body,casti-tela-1-uroven,body
263,Liz wants to cut her _ .,hair,casti-tela-1-uroven,hair
263,She can’t see. She has something in her _ .,eye,casti-tela-1-uroven,eye
264,What’s that in your _ ?,hand,casti-tela-2-uroven,hand
264,My _ is full. I can’t smell anything.,nose,casti-tela-2-uroven,nose
264,He has a kind _ .,face,casti-tela-2-uroven,face
265,That giraffe has a long _ .,neck,casti-tela-1-uroven,neck
265,He wants to hold me in his _ .,arms,casti-tela-1-uroven,arms
265,Don’t cover your _ .,ears,casti-tela-1-uroven,ears
266,How often does your _ hurt?,head,casti-tela-1-uroven,head
266,You should brush your _ often.,teeth,casti-tela-1-uroven,teeth
266,There are five _ on one hand.,fingers,casti-tela-1-uroven,fingers
267,We found a _ of a mouse.,skeleton,casti-tela-2-uroven,skeleton
267,Drinking too much alcohol damages your _ .,liver,casti-tela-2-uroven,liver
267,I bumped my _ on the chair leg.,toe,casti-tela-2-uroven,toe
267,The human body has 206 _ .,bones,casti-tela-2-uroven,bones
268,Don’t stick out your _ at people.,tongue,casti-tela-2-uroven,tongue
268,I got a piece of glass stuck in my _ .,heel,casti-tela-2-uroven,heel
268,He has sweat on his _ .,forehead,casti-tela-2-uroven,forehead
268,Doctors can’t be afraid of _ .,blood,casti-tela-2-uroven,blood
269,He kissed me on the _ .,lips,casti-tela-3-uroven,lips
269,Can I sit on your _ ?,shoulders,casti-tela-3-uroven,shoulders
269,My grandpa fell and broke his _ .,hip,casti-tela-3-uroven,hip
269,Don’t shout in my _ .,ear,casti-tela-3-uroven,ear
270,Exercise builds the _ .,muscles,casti-tela-2-uroven,muscles
270,You have soup on your _ .,chin,casti-tela-2-uroven,chin
270,Our cat has a long _ .,tail,casti-tela-2-uroven,tail
270,I don’t paint my _ .,nails,casti-tela-2-uroven,nails
271,They found a human _ in the field.,skull,casti-tela-3-uroven,skull
271,"She didn’t understand, so she rose her _ .",eyebrow,casti-tela-3-uroven,eyebrow
271,It gets on my _ .,nerves,casti-tela-3-uroven,nerves
271,They laughed in my _ .,face,casti-tela-3-uroven,face
272,I ate something bad. My _ hurts.,stomach,casti-tela-2-uroven,stomach
272,Women have bigger _ than men.,breasts,casti-tela-2-uroven,breasts
272,She can read the future from your _ .,palm,casti-tela-2-uroven,palm
272,He wears his _ short.,hair,casti-tela-2-uroven,hair
273,It’s hard to breathe when my _ hurt.,lungs,casti-tela-2-uroven,lungs
273,Lily grabbed him by his _ .,elbow,casti-tela-2-uroven,elbow
273,Breathe through your _ .,nose,casti-tela-2-uroven,nose
273,He has very sad _ .,eyes,casti-tela-2-uroven,eyes
274,She twisted her _ on the stairs.,ankle,casti-tela-2-uroven,ankle
274,There was a sharp pain in his _ .,chest,casti-tela-2-uroven,chest
274,I hate my _ . I keep forgetting things.,brain,casti-tela-2-uroven,brain
274,Raise your _ if you know the answer.,hand,casti-tela-2-uroven,hand
275,The _ is black and white.,zebra,zvirata-mix-1-uroven,zebra
275,The _ is a very dangerous animal.,hippopotamus,zvirata-mix-1-uroven,dolphin
275,The _ lives in the sea.,dolphin,zvirata-mix-1-uroven,hippopotamus
276,The _ has a horn on its nose.,rhinoceros,zvirata-mix-1-uroven,rhinoceros
276,The _ is a huge sea mammal.,whale,zvirata-mix-1-uroven,whale
276,The _ is a bird that can’t fly well.,chicken,zvirata-mix-1-uroven,chicken
277,The _ has black stripes.,tiger,zvirata-mix-2-uroven,tiger
277,The tallest animal is the _ .,giraffe,zvirata-mix-2-uroven,giraffe
277,The biggest kind of a bird is _ .,ostrich,zvirata-mix-2-uroven,ostrich
278,The _ likes cold weather.,penguin,zvirata-mix-1-uroven,penguin
278,The _ lives long and is very smart.,elephant,zvirata-mix-1-uroven,elephant
278,This _ has very soft wool.,sheep,zvirata-mix-1-uroven,sheep
279,The _ lives in Australia.,kangaroo,zvirata-mix-1-uroven,kangaroo
279,The _ climbs the trees.,monkey,zvirata-mix-1-uroven,dog
279,The _ is man’s best friend.,dog,zvirata-mix-1-uroven,monkey
280,The _ has a huge mouth.,crocodile,zvirata-mix-2-uroven,crocodile
280,A _ is kept for meat.,pig,zvirata-mix-2-uroven,antelope
280,The _ eats grass.,antelope,zvirata-mix-2-uroven,pig
281,The _ has brown fur.,camel,zvirata-mix-2-uroven,donkey
281,The _ has large ears.,donkey,zvirata-mix-2-uroven,gorilla
281,The _ is black and very strong.,gorilla,zvirata-mix-2-uroven,camel
282,The _ can swim well.,turtle,zvirata-mix-2-uroven,turtle
282,Some _ have horns.,goats,zvirata-mix-2-uroven,goats
282,The _ hunts smaller animals.,lion,zvirata-mix-2-uroven,lion
283,The _ lives in a forest.,deer,zvirata-mix-2-uroven,deer
283,The _ has a colourful tail.,cock,zvirata-mix-2-uroven,otter
283,Our sow gave birth to four small _ .,piglets,zvirata-mix-2-uroven,piglets
283,The _ can swim very well.,otter,zvirata-mix-2-uroven,cock
284,The _ is a kind of a bird.,cuckoo,zvirata-mix-2-uroven,badger
284,The _ has black and white stripes on its head.,badger,zvirata-mix-2-uroven,cuckoo
284,The _ has a big flat tail.,beaver,zvirata-mix-2-uroven,beaver
284,The _ is a kind of a snake.,viper,zvirata-mix-2-uroven,viper
285,The _ can jump very well.,frog,zvirata-mix-1-uroven,bat
285,My cat had small _ .,kittens,zvirata-mix-1-uroven,kittens
285,The _ moves very slowly.,snail,zvirata-mix-1-uroven,snail
285,The _ has a good hearing.,bat,zvirata-mix-1-uroven,frog
286,The _ has spikes on its back.,hedgehog,zvirata-mix-2-uroven,jay
286,The _ is a kind of a bird.,jay,zvirata-mix-2-uroven,hedgehog
286,The _ doesn’t have any legs.,snake,zvirata-mix-2-uroven,snake
286,The _ eats nuts.,squirrel,zvirata-mix-2-uroven,squirrel
287,The _ lives in a pack.,wolf,zvirata-mix-3-uroven,weasel
287,The _ hunts mice.,weasel,zvirata-mix-3-uroven,wolf
287,The cow gave birth to a _ .,calf,zvirata-mix-3-uroven,calf
287,The _ is a big wild cat living in the forest.,lynx,zvirata-mix-3-uroven,lynx
288,The _ is a kind of a bird that hunts small animals.,buzzard,zvirata-mix-2-uroven,buzzard
288,Many _ eat trash.,raccoons,zvirata-mix-2-uroven,kid goats
288,The _ is not venomous.,grass snake,zvirata-mix-2-uroven,grass snake
288,We have one adult goat and two _ .,kid goats,zvirata-mix-2-uroven,raccoons
289,The _ sleeps during the winter.,bear,zvirata-mix-2-uroven,bear
289,The _ can swim and fly well.,goose,zvirata-mix-2-uroven,toad
289,The _ is a kind of a frog.,toad,zvirata-mix-2-uroven,goose
289,The _ has a long tail.,rat,zvirata-mix-2-uroven,rat
290,The _ can run very fast.,hare,zvirata-mix-3-uroven,fox
290,The _ has a big furry tail.,fox,zvirata-mix-3-uroven,hare
290,The _ looks like a lizard.,salamander,zvirata-mix-3-uroven,boar
290,The _ is a wild pig living in the forest.,boar,zvirata-mix-3-uroven,salamander
291,I can never find things in my _ .,bag,obleceni-1-uroven,bag
291,This _ is very warm.,sweater,obleceni-1-uroven,sweater
291,You can wear a _ on your head.,hat,obleceni-1-uroven,hat
292,Your shoulders are too small for that _ .,jacket,obleceni-1-uroven,jacket
292,It’s too hot for trousers. Take _ .,shorts,obleceni-1-uroven,shorts
292,Soldiers wear _ .,uniforms,obleceni-1-uroven,uniforms
293,What’s written on your _ ?,T-shirt,obleceni-1-uroven,T-shirt
293,Those _ are too long for you.,trousers,obleceni-1-uroven,trousers
293,Have you seen my reading _ ?,glasses,obleceni-1-uroven,glasses
294,You should wear a _ to the theatre.,suit,obleceni-1-uroven,sock
294,I like to wear _ in the summer.,sandals,obleceni-1-uroven,sandals
294,This _ doesn’t have a pair.,sock,obleceni-1-uroven,suit
295,Boys don’t wear _ .,bras,obleceni-1-uroven,bras
295,Put on _ so that your hands get warm.,gloves,obleceni-1-uroven,gloves
295,He is wearing a white _ .,shirt,obleceni-1-uroven,shirt
296,Take the _ off from your head.,cap,obleceni-1-uroven,cap
296,I can’t carry it. My _ is full.,bag,obleceni-1-uroven,bag
296,He is wearing a _ around his neck.,tie,obleceni-1-uroven,tie
297,I can’t see anything. I don’t have my _ .,glasses,obleceni-1-uroven,glasses
297,Your _ is too short.,skirt,obleceni-1-uroven,skirt
297,The phone is in my _ .,pocket,obleceni-1-uroven,pocket
298,Wear the _ to protect your head.,helmet,obleceni-1-uroven,helmet
298,It’s raining. Where is my _ ?,raincoat,obleceni-1-uroven,raincoat
298,Do you want blue _ or black?,jeans,obleceni-1-uroven,jeans
299,It’s cold. You should take a _ .,coat,obleceni-1-uroven,coat
299,What time is it? I don’t have a _ .,watch,obleceni-1-uroven,watch
299,She can’t go swimming. She doesn’t have a _ .,swimsuit,obleceni-1-uroven,swimsuit
300,My head is too big for that _ .,hat,obleceni-1-uroven,hat
300,Tammy is wearing a beautiful summer _ .,dress,obleceni-1-uroven,dress
300,This warm _ is from my grandma.,sweater,obleceni-1-uroven,sweater
301,We wear these _ at home.,slippers,obleceni-2-uroven,underwear
301,Do you have enough _ for the whole week?,underwear,obleceni-2-uroven,pullover
301,He is wearing a red _ with his suit.,bow tie,obleceni-2-uroven,slippers
301,Take something warm. A _ for example.,pullover,obleceni-2-uroven,bow tie
302,Kim exercises with a _ on her head.,headband,obleceni-2-uroven,waistcoat
302,These _ are great for running.,sneakers,obleceni-2-uroven,sneakers
302,All our shirts are made from _ .,cotton,obleceni-2-uroven,cotton
302,Does that suit have a _ ?,waistcoat,obleceni-2-uroven,headband
303,I don’t mind the wind. I have a _ .,windcheater,obleceni-2-uroven,blouse
303,You can wear that _ when you go to the wedding.,blouse,obleceni-2-uroven,windcheater
303,He had a _ over his head.,hood,obleceni-2-uroven,hood
303,Sally blew her nose into her _ .,handkerchief,obleceni-2-uroven,handkerchief
304,Wear a _ to keep your neck warm.,scarf,obleceni-2-uroven,pyjamas
304,She sleeps in blue _ .,pyjamas,obleceni-2-uroven,silk
304,That’s a _ . He doesn’t really have any hair.,wig,obleceni-2-uroven,wig
304,This shirt is made from _ .,silk,obleceni-2-uroven,scarf
